Ind	temperature	SGR	LGR_i	genotype	Weight_0	Length_b	Length_i	CF_0	Weight_28	Length_b28	Length_i28	CF_28	HepatoSomaticIndex	CardioSomaticIndex	Sex	Haematocrit 	Hb	MACHC	Green_Liver	PlasmaOsmolarity	TriGly	Lact	Gluc
WL.1MA	1	-0.315604109	0	1	180.9	188	197	2.366137009	165.6	186	197	2.166015968	6.17	23.73	1	26	6.169949059	23.7305733	1	379	1.65	1.7	10
WL.3MA	1	-0.279944746	0	1	140.6	177	181	2.371098502	130	175	181	2.192338586	6.55	23.41	1	28	6.554646123	23.40945044	1	403	1.01	1.2	7.8
WL.6MA	1	-0.183479979	0	1	129.8	175	180	2.225651578	123.3	173	180	2.114197531	6.02	21.51	1	28	6.02198865	21.50710232	1	402	0.975	3.7	11.9
WH.1MA	2	0.477891228	0.214285714	1	134.8	177	183	2.199564101	154.1	181	189	2.282533847	6.29	20.96	1	30	6.288317386	20.96105795	1	399.5	5.63	3.1	7
WH.2MA	2	0.145146367	0.071428571	1	132.6	177	182	2.199527317	138.1	179	184	2.216869915	6.98	21.82	1	32	6.983731309	21.82416034	1	399	3.29	2.5	8.7
WH.3MA	2	0.004517937	0	1	158	181	189	2.340300764	158.2	184	189	2.34326317	6.36	19.88	1	32	6.362297591	19.88217997	1	395.5	4.43	2.5	8.8
DL.4MA	1	0.066415142	0	2	154.5	199	199	1.96051087	157.4	194	199	1.997310103	4.79	13.70	1	35	4.793917255	13.69690644	1	369.5	2.8	2	17
DL.5MA	1	0.215006766	0	2	153.1	189	193	2.129625624	162.6	187	193	2.261770911	2.43	12.77	1	19	2.426550709	12.77131952	2	404.5	2.07	1.4	9.1
DL.6MA	1	0.102285665	0.035714286	2	148	186	193	2.05868447	152.3	190	194	2.085905905	4.62	13.99	1	33	4.616364764	13.98898413	2	398	1.46	1.7	11.1
DH.1MA	2	0.604114896	0.285714286	2	146.5	193	194	2.006468911	173.5	193	202	2.104967383	7.13	23.01	1	31	7.131691718	23.00545716	1	387	4.43	2.3	5.3
DH.4MA	2	0.504651919	0.178571429	2	141	184	185	2.226916471	162.4	184	190	2.367692083	5.67	18.89	1	30	5.666883668	18.88961223	1	418	4.71	3.6	7.3
DH.5MA	2	0.346339825	0.142857143	2	147.3	191	191	2.11398862	162.3	194	195	2.188843372	6.50	17.09	1	38	6.495461959	17.09332094	1	432	4.87	4.4	10.4
